s1,s2,s3,s4,s5,N_Observations,P(-1),P(0),P(+1),Direction,Classification_Error,Gini,Cross_Entropy,Confidence
-1,-1,-1,-1,-1,18,0.3333333333333333,0.2777777777777778,0.3888888888888889,0.05555555555555558,0.6111111111111112,0.6604938271604939,1.0893096789558299,0.3888888888888889
0,-1,-1,-1,-1,28,0.25,0.35714285714285715,0.39285714285714285,0.14285714285714285,0.6071428571428572,0.6556122448979592,1.0813448682427136,0.39285714285714285
1,-1,-1,-1,-1,14,0.35714285714285715,0.42857142857142855,0.21428571428571427,-0.14285714285714288,0.5714285714285714,0.6428571428571428,1.060944240790747,0.42857142857142855
-1,0,-1,-1,-1,15,0.4,0.13333333333333333,0.4666666666666667,0.06666666666666665,0.5333333333333333,0.6044444444444445,0.990835386443849,0.4666666666666667
0,0,-1,-1,-1,22,0.45454545454545453,0.18181818181818182,0.36363636363636365,-0.09090909090909088,0.5454545454545454,0.628099173553719,1.0361987848192837,0.45454545454545453
1,0,-1,-1,-1,26,0.46153846153846156,0.3076923076923077,0.23076923076923078,-0.23076923076923078,0.5384615384615384,0.6390532544378699,1.0579054247036734,0.46153846153846156
-1,1,-1,-1,-1,12,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333331,0.5833333333333333,0.6527777777777778,1.0775563270668007,0.4166666666666667
0,1,-1,-1,-1,15,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,0.5333333333333333,0.64,1.0606018056124555,0.4666666666666667
1,1,-1,-1,-1,17,0.4117647058823529,0.29411764705882354,0.29411764705882354,-0.11764705882352938,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
-1,-1,0,-1,-1,15,0.26666666666666666,0.3333333333333333,0.4,0.13333333333333336,0.6,0.6577777777777778,1.0851886129676505,0.4
0,-1,0,-1,-1,23,0.2608695652173913,0.4782608695652174,0.2608695652173913,0.0,0.5217391304347826,0.6351606805293005,1.0538437102109437,0.4782608695652174
1,-1,0,-1,-1,10,0.5,0.4,0.1,-0.4,0.5,0.58,0.9433483923290391,0.5
-1,0,0,-1,-1,21,0.23809523809523808,0.47619047619047616,0.2857142857142857,0.047619047619047616,0.5238095238095238,0.6349206349206349,1.052922565938695,0.47619047619047616
0,0,0,-1,-1,36,0.2777777777777778,0.3611111111111111,0.3611111111111111,0.08333333333333331,0.6388888888888888,0.662037037037037,1.091448543346654,0.3611111111111111
1,0,0,-1,-1,17,0.4117647058823529,0.47058823529411764,0.11764705882352941,-0.2941176470588235,0.5294117647058824,0.5951557093425606,0.9718487712358765,0.47058823529411764
-1,1,0,-1,-1,18,0.5,0.2777777777777778,0.2222222222222222,-0.2777777777777778,0.5,0.6234567901234568,1.0366279688586069,0.5
0,1,0,-1,-1,21,0.47619047619047616,0.3333333333333333,0.19047619047619047,-0.2857142857142857,0.5238095238095238,0.6258503401360545,1.0353605606849843,0.47619047619047616
1,1,0,-1,-1,16,0.4375,0.375,0.1875,-0.25,0.5625,0.6328125,1.0433534269422904,0.4375
-1,-1,1,-1,-1,12,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333337,0.5833333333333333,0.6527777777777777,1.0775563270668007,0.4166666666666667
0,-1,1,-1,-1,23,0.21739130434782608,0.43478260869565216,0.34782608695652173,0.13043478260869565,0.5652173913043479,0.6427221172022685,1.061208440905252,0.43478260869565216
1,-1,1,-1,-1,15,0.2,0.4,0.4,0.2,0.6,0.64,1.0549201679861442,0.4
-1,0,1,-1,-1,15,0.2,0.5333333333333333,0.26666666666666666,0.06666666666666665,0.4666666666666667,0.6044444444444445,1.009613758174038,0.5333333333333333
0,0,1,-1,-1,21,0.23809523809523808,0.19047619047619047,0.5714285714285714,0.3333333333333333,0.4285714285714286,0.5804988662131518,0.9773202089564674,0.5714285714285714
1,0,1,-1,-1,17,0.4117647058823529,0.29411764705882354,0.29411764705882354,-0.11764705882352938,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
-1,1,1,-1,-1,23,0.2608695652173913,0.2608695652173913,0.4782608695652174,0.2173913043478261,0.5217391304347826,0.6351606805293005,1.053843710210944,0.4782608695652174
