Method,Best_Depth,CV_Accuracy,Number_of_Clusters,Average_Cluster_Size,Average_CrossEntropy,Average_Confidence,Average_Direction,Silhouette_Score
Gini Tree,1.0,0.3998609301090839,2,121.5,1.0891801443188873,0.39623213473152974,0.010204446581726923,
Cross-Entropy Tree,1.0,0.3998609301090839,2,121.5,1.0881011170525698,0.39986766946581725,-0.011608761823998226,
Jensen-Shannon,,,2,121.5,0.9596651674518982,0.5214982214372776,0.28510484813810605,0.4827541169792523
SSE,,,2,121.5,0.9596651674518982,0.5214982214372776,0.28510484813810605,0.48096564990294716
